Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
aceh - aceh selatan,5,0.84,12.10,37.42,0.00,34.05,8.50,2.22,64.81,40.20,73.84,267,
aceh - aceh tenggara,6,0.51,12.45,46.16,0.00,44.19,10.13,2.20,68.65,32.90,76.87,227,
aceh - aceh timur,6,0.72,13.39,31.97,0.45,38.66,8.99,1.68,69.07,29.70,77.19,217,
aceh - aceh tengah,5,2.67,14.38,20.61,0.08,26.30,10.04,2.16,69.18,23.60,69.08,311,
aceh - aceh barat,6,0.67,17.86,31.65,0.00,23.36,10.27,1.46,68.34,33.40,78.27,204,
aceh - aceh besar,6,0.48,13.38,26.96,0.43,10.06,10.87,1.38,70.14,30.10,84.72,79,
aceh - pidie,6,0.36,18.78,48.18,0.09,31.46,9.29,0.70,67.29,29.50,76.69,230,
aceh - aceh utara,6,0.47,16.64,50.53,0.01,37.08,9.37,0.56,69.15,25.20,77.12,220,
aceh - simeulue,6,0.75,17.92,31.27,0.13,17.76,9.91,1.68,65.61,30.70,77.54,214,
aceh - aceh singkil,2,5.00,19.15,50.07,0.00,40.31,9.02,1.74,67.78,34.10,46.10,390,
aceh - bireuen,6,0.58,12.12,38.91,0.01,27.66,9.67,0.46,71.66,32.90,80.83,148,
aceh - aceh barat daya,6,0.53,15.43,39.09,0.00,24.17,9.20,1.70,65.48,27.90,78.05,207,
aceh - gayo lues,6,0.66,18.82,44.75,0.18,20.48,8.39,6.33,65.92,15.40,77.06,222,
aceh - aceh jaya,6,0.33,12.42,40.90,0.14,26.92,8.98,4.54,67.55,34.00,79.69,171,
aceh - nagan raya,6,0.75,17.25,48.43,0.13,24.00,9.14,2.19,69.60,31.60,76.60,233,
aceh - aceh tamiang,6,0.82,12.51,26.54,0.00,14.56,9.58,1.27,70.04,35.90,81.16,142,
